id,评论页码,评论id,评论时间,评论点赞数,评论者IP归属地,评论者姓名,评论者id,评论者性别,评论者关注数,评论者粉丝数,评论内容
4792914813387718,144,4792972224499758,2022-07-19 15:51:30,0,来自河南,2319tt,6502566526,f,119,2,挺喜欢，早日回归
4792914813387718,138,4792944295677516,2022-07-19 14:00:31,0,来自重庆,软萌灰兔兔,6527017673,m,48,114,人就是什么都想要（不排除你最后一句话也是勾引观众发评论的手段）
4792914813387718,134,4792929094209349,2022-07-19 13:00:07,0,来自江苏,沙式比亚猪,7610457282,f,76,6,李子柒？
4792911403421279,1,4792912309390442,2022-07-19 11:53:25,4,来自甘肃,芽芽和鼠标仔炒鸡可爱,7733364559,f,76,4,李子柒是我初高中在语文作业里面看过的人，还写过关于她的作文，怎么可能不知道
4792911403421279,114,4792971910186492,2022-07-19 15:50:15,0,,超话社区,5878659096,m,273,2.34亿,你好，你感兴趣的“李子柒”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; 李子柒
4686743301259936,72,4686851010988036,2021-09-29 19:43:41,946,,菜菜山川,3913519636,f,556,43,她打工很多年了，攒了点钱回家陪奶奶，我不知道她有没有请摄影师，请了的话也不用请多贵的摄影师，视频是自己剪，成本用不了多少。而且她是火了以后微念才找她合作的，不是零孵化是相互成就的关系。微念现在估值几十亿，控制的天猫李子柒店年销售额十几亿，但是却想把人家当个小网红对待，想独吞成果
4686743301259936,2,4686744210901070,2021-09-29 12:39:18,569,,亚瑟王_圆桌骑士,1028430780,m,96,100,先红了才有的资本吧？
4686743301259936,36,4686786729347064,2021-09-29 15:28:15,399,,皮卡丘萌我一脸,7559574541,m,340,27,时代和粉丝造就的李子柒，说公司打造好没头脑
4686743301259936,31,4686770392793699,2021-09-29 14:23:19,245,,Hamhamhamham,5533304147,m,595,64,没有了灵魂人物，就没有了生命力
4686743301259936,13,4686757305518714,2021-09-29 13:31:20,199,,水上风扬,2963719165,m,159,4976,网红收割粉丝，资本收割网红。李子柒火到这种程度，已经超脱了能完全被掌控的范围，力有不逮，这大概是资本想不到的。就像网红敬汉卿被告侵权抢注商标，没想到人家用的是真名。太自信了总归不好。
