id,父级,评论页码,评论id,评论时间,评论点赞数,评论者IP归属地,评论者姓名,评论者id,评论者性别,评论者关注数,评论者粉丝数,评论内容
4785707983832954	,0	,77,4786036003311308	,2022-06-30 12:29:26,0,来自北京,相逢细雨蒙濛,6285378961,f,718,1136,马上就开庭了，就看看到底谁说的真话！
4785707983832954	,0	,71,4786032145336736	,2022-06-30 12:14:06,0,来自重庆,可柯我的小baby,2253110503,f,722,1104,法律是公正的，孰是孰非很快出结果
4785707983832954	,0	,67,4786018227849853	,2022-06-30 11:18:48,0,来自陕西,柯依是你的晴儿,6560932430,f,423,1207,法律解决就对了，要不各说各有理，说不清对错
4785707983832954	,0	,64,4786016285888326	,2022-06-30 11:11:05,0,来自湖南,不就是寂寞依然,6901324182,f,442,1173,看法律的判决吧，谁对谁错很快就知道了
4785707983832954	,0	,63,4786015422907909	,2022-06-30 11:07:38,0,来自山西,没有理由不努力呵,7735517383,f,93,3,理性吃瓜，马上就开庭了，等一个后续报道
4785707983832954	,0	,62,4786014536865754	,2022-06-30 11:04:08,0,来自山东,明明有鸣,7729872755,f,108,7,等法律公正的裁决吧，7月4号就知道了
4785707983832954	,0	,59,4786013358786684	,2022-06-30 10:59:27,0,来自陕西,佛系少女很单纯,7729740857,f,135,6,等法律判决吧，公道自在人心
4785707983832954	,0	,58,4786012918121435	,2022-06-30 10:57:41,0,来自江苏,常常想妳,7729215718,f,118,7,7月4号就知道结果了，等法院的判决吧
4785707983832954	,0	,56,4786011739259837	,2022-06-30 10:53:00,0,来自上海,夏筱已,7730873237,f,67,2,蹲个后续，等法律判决就行了
4785707983832954	,0	,55,4786011081281328	,2022-06-30 10:50:24,0,来自广东,眯一会儿可以的嘛,7729116707,f,82,9,自有法律来维持公道，相信法律的判决
4785707983832954	,0	,54,4786010321849919	,2022-06-30 10:47:23,0,来自云南,说已不在,7728638903,f,114,6,法律会做出最好的判决，等后续就行了
4785707983832954	,0	,53,4786010019332732	,2022-06-30 10:46:10,0,来自云南,止步看日出日落,7730088683,f,113,2,现在说什么都为时过早，等法律的判决吧
4785707983832954	,0	,50,4786004891011302	,2022-06-30 10:25:47,0,来自云南,风中无期的飞鸟,7272950803,m,819,1141,商业纠纷而已，等法律判吧
4785707983832954	,0	,49,4786004533969475	,2022-06-30 10:24:22,0,来自浙江,萌萌不懵懵懂懂,6912756499,f,1006,1060,吃吃瓜就好，相信法律会出公正的判决
4785707983832954	,0	,48,4786004126861449	,2022-06-30 10:22:46,0,来自陕西,陌上飘飘忽,7182625461,f,1564,1142,等法律判决吧，现在说还太早了
4785707983832954	,0	,46,4786003065702465	,2022-06-30 10:18:33,0,来自江苏,妹子夏一夏,7730930130,f,408,28,还是等法律判决吧
4785707983832954	,0	,44,4785749821491362	,2022-06-29 17:32:15,0,来自江苏,_大_梦_,6020000959,m,64,25,关键在于微念是直接还是间接持有李子柒IP，李子柒IP正常是该归四川子柒。若微念通过四川子柒间接持有IP那就给李佳佳49%收益；若微念是直接持有李子柒IP，那就让大家看看资本是如何巧取豪夺的
4785707983832954	,0	,43,4785749414642241	,2022-06-29 17:30:37,0,来自安徽,充满热情的伤心猪蹄,6259704460,f,66,3,李子柒在很多年前的一场停更说明里面提过刘同明 里面说到刘同明帮她获得了很多资源和流量是她成功路上的垫脚石
4785707983832954	,0	,42,4785738282958968	,2022-06-29 16:46:23,0,来自江苏,帥帥-小帥,2617432970,f,171,154,所以她不叫李子柒
4785707983832954	,4785726107158222	,0,4785746101405518	,2022-06-29 17:17:27,0,来自北京,我用真心换一生,5484182811,m,285,982,哈哈哈就像加多宝王老吉[机智]
4785707983832954	,4785726107158222	,0,4788933411736822	,2022-07-08 12:22:42,0,来自广东,古香古食龙哥,7606898843,m,7,982,说吧，资本给了你多少钱？李子柒是李佳佳艺名，别想拿走，《民法典》规定的姓名权保护。
4785707983832954	,0	,38,4785726107158222	,2022-06-29 15:58:01,0,来自江西,云梦遇羡,1737481740,f,1220,982,李子柒这个名字不用也罢，以后用李佳佳的名字做视频我们还是一样爱看，人还是这个人，换个名字会影响我们看吗？资本攥着“李子柒”这个名字不撒手就给他
4785707983832954	,0	,36,4785725097378166	,2022-06-29 15:53:59,0,来自湖南,青小胖mm,7357090645,f,56,1,我还是支持李佳佳！
4785707983832954	,0	,16,4785714104107456	,2022-06-29 15:10:18,0,来自辽宁,木头盒子与燃烧的农夫,1910531835,m,1137,131,转发微博
4785707983832954	,0	,7,4785709082740154	,2022-06-29 14:50:22,0,来自山东,谁笑的那么好看,6554142624,f,347,1163,等开庭结果
4785707983832954	,0	,6,4785709062554941	,2022-06-29 14:50:17,0,来自重庆,无情无义无心32010,6421757329,m,412,123,还没有结束吗
4785707983832954	,0	,15,4785713599743313	,2022-06-29 15:08:18,2,来自重庆,男神蘑菇,5883661855,f,176,3,这烂公司怎么又开始了
4785707983832954	,0	,107,4803676982739398	,2022-08-18 04:48:23,0,来自安徽,张梓清呀,7404952686,f,0,0,//@卢有才_:我是不是可以理解成我有个项目，自己没钱，需要别人偷钱，我愿意拿49的股份。后来没想到太赚钱了，觉得事情都是自己做的，资方投的钱早就回本了，赚的比自己还多就不愿意了。
4785707983832954	,0	,60,4786014004446802	,2022-06-30 11:02:01,0,来自宁夏,快乐最重要哇咔咔,7729532401,f,109,6,终于要等来最终判决了，蹲结果
4785707983832954	,0	,57,4786012418478622	,2022-06-30 10:55:43,0,来自四川,之一一声,7730321777,f,69,7,现在说啥都没有用，等法律的最终判决吧
4785707983832954	,0	,52,4786009658887327	,2022-06-30 10:44:45,0,来自江苏,飞花迷,7731647697,f,122,1,7月4号就知道后续了。瓜别吃的太早了
4785707983832954	,0	,35,4785721405081117	,2022-06-29 15:39:19,0,来自四川,無門殿的小木屋,1676622037,f,530,630,本来也沾满铜臭吧
4785707983832954	,0	,108,4803678449959178	,2022-08-18 04:54:12,0,来自安徽,张梓清呀,7404952686,f,0,0,@张梓清呀 不是，是别人以你的名义，你销售的产品开其他公司(比如螺蛳粉)，赚了大把的钱只给你很少分成。品牌不是你的品牌，公司不是你的公司，随时可以把你辞掉。你就是个傀儡 @卢有才_ 是不是可以理解成我有个项目，需要别人投钱，我愿意拿49的股份。后来没想到赚大了，资方赚的比自己还多就不愿意了
4785707983832954	,0	,97,4786370263908948	,2022-07-01 10:37:39,0,来自湖北,泥泥很可爱_,5829049123,f,3293,5400,能做出一个这么大的ip真的挺不容易的
4785707983832954	,0	,96,4786369698989588	,2022-07-01 10:35:24,0,来自湖南,像化了的巧克力,6709616222,f,505,98,这个案子要有一个结果了吗？
